Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE_LINK,-0.089143933,4.16E-05,-0.028119509,0,0,0,3.774608038,0.010551567,5.65E-07,0.000859091,0.007125319,1.41E-06,0.010389513,0,0,0,0,0,0,package://TH02/meshes/BASE_LINK.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/BASE_LINK.STL,,TH01-HIPBASE_DUMMY-1;TH02-HIP_BODY_RACK_RevA-1;TH02-BODY-DUMMY-2,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HIP_R,0.000703862,7.86E-10,0.002358526,0,0,0,0.53261465,0.000959218,-1.73E-11,8.84E-07,0.000614281,-3.42E-11,0.000538737,0,0,0,0,0,0,package://TH02/meshes/HIP_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_R.STL,,TH01-ABAD_DUMMY-2,HIP_YAW_R,HIP_YAW_R_AXIS,HIP_YAW_R,revolute,-0.18337794,-0.0625,-0.28837794,0,0.785398163,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
HIP_ABAD_R,-0.00090639,-1.14E-09,0.00266189,0,0,0,1.507235175,0.006369227,4.14E-10,6.00E-07,0.003785597,1.98E-10,0.003391111,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_R.STL,,TH01-HIPPITCH_DUMMY-2,HIP_ROLL_R,HIP_ROLL_R_AXIS,HIP_ROLL_R,revolute,0.141,0,0,1.570796327,0,-1.570796327,HIP_R,0,0,1,0,0,0,0,,,,,,,,
FEMUR_R,0.1135238,0.012930779,0.024703704,0,0,0,2.979880153,0.00631494,-0.002497179,0.003880849,0.048482245,0.000132517,0.052754865,0,0,0,0,0,0,package://TH02/meshes/FEMUR_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FEMUR_R.STL,,TH01-FEMUR_R_DUMMY-1,HIP_PITCH_R,HIP_PITCH_R_AXIS,HIP_PITCH_R,revolute,0.029,0,0,-1.570796327,0.785398163,-1.570796327,HIP_ABAD_R,0,0,-1,0,0,0,0,,,,,,,,
TIBIA_R,0.141549598,-2.78E-16,-1.39E-16,0,0,0,0.477888041,0.000114533,-3.49E-19,-1.69E-19,0.006838382,-2.73E-21,0.006857318,0,0,0,0,0,0,package://TH02/meshes/TIBIA_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/TIBIA_R.STL,,TH01-TIBIA_DUMMY-2,KNEE_PITCH_R,KNEE_PITCH_R_AXIS,KNEE_PITCH_R,revolute,0.375,0,0,0,0,0,FEMUR_R,0,0,1,0,0,0,0,,,,,,,,
ANKLE_R,3.89E-10,-1.18E-09,-5.94E-10,0,0,0,0.015158989,1.68E-06,1.55E-13,-4.74E-14,1.49E-06,-1.45E-13,1.41E-06,0,0,0,0,0,0,package://TH02/meshes/ANKLE_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/ANKLE_R.STL,,TH01-ANKLE_DUMMY-2,ANKLE_PITCH_R,ANKLE_PITCH_R_AXIS,ANKLE_PITCH_R,revolute,0.375,0,0,0,0,0,TIBIA_R,0,0,1,0,0,0,0,,,,,,,,
FOOT_R,0.041741039,1.27E-06,0.050426977,0,0,0,0.371032918,0.001569039,-1.03E-09,-7.91E-06,0.001412996,-8.40E-09,0.00017919,0,0,0,0,0,0,package://TH02/meshes/FOOT_R.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FOOT_R.STL,,TH01-FOOT_DUMMY_Detailed-1,ANKLE_ROLL_R,ANKLE_ROLL_R_AXIS,ANKLE_ROLL_R,revolute,0,0,0,-1.570796327,0,0,ANKLE_R,0,0,1,0,0,0,0,,,,,,,,
HIP_L,0.000703862,7.86E-10,0.002358526,0,0,0,0.53261465,0.000959218,-1.73E-11,8.84E-07,0.000614281,-3.42E-11,0.000538737,0,0,0,0,0,0,package://TH02/meshes/HIP_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_L.STL,,TH01-ABAD_DUMMY-1,HIP_YAW_L,HIP_YAW_L_AXIS,HIP_YAW_L,revolute,-0.18337794,0.0625,-0.28837794,0,0.785398163,0,BASE_LINK,0,0,1,0,0,0,0,,,,,,,,
HIP_ABAD_L,0.00090639,1.14E-09,0.00266189,0,0,0,1.507235175,0.006369227,4.14E-10,-6.00E-07,0.003785597,-1.98E-10,0.003391111,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/HIP_ABAD_L.STL,,TH01-HIPPITCH_DUMMY-1,HIP_ROLL_L,HIP_ROLL_L_AXIS,HIP_ROLL_L,revolute,0.141,0,0,1.570796327,0,-1.570796327,HIP_L,0,0,1,0,0,0,0,,,,,,,,
FEMUR_L,0.1135238,0.012930779,-0.024703704,0,0,0,2.979880153,0.00631494,-0.002497179,-0.003880849,0.048482245,-0.000132517,0.052754865,0,0,0,0,0,0,package://TH02/meshes/FEMUR_L.STL,0.792156863,0.819607843,0.933333333,1,0,0,0,0,0,0,package://TH02/meshes/FEMUR_L.STL,,TH01-FEMUR_DUMMY-1,HIP_PITCH_L,HIP_PITCH_L_AXIS,HIP_PITCH_L,revolute,-0.029,0,0,-1.570796327,0.785398163,-1.570796327,HIP_ABAD_L,0,0,1,0,0,0,0,,,,,,,,
